NUMERO;En alquiler;En propiedad;Otro régimen de tenencia
1.0;0.340956340956341;0.5841995841995842;0.07484407484407485
2.0;0.1311718584445857;0.778766687857597;0.09006145369781733
3.0;0.4229607250755287;0.4350453172205438;0.1419939577039275
4.0;0.22535211267605634;0.6838810641627543;0.09076682316118936
5.0;0.5125348189415042;0.42618384401114207;0.06128133704735376
6.0;0.14301503094606544;0.7796198054818745;0.07736516357206012
7.0;0.13156053184044786;0.7906461394914859;0.07779332866806625
8.0;0.09346556174432821;0.8466240999864149;0.059910338269256895
9.0;0.1684386391251519;0.7534933171324423;0.07806804374240583
10.0;0.10725365637464913;0.8445856108730979;0.04816073275225292
11.0;0.05731990704879938;0.8830364058869093;0.05964368706429125
