NUMERO;Trabajador por cuenta ajena fijo o indefinido;Trabajador por cuenta ajena temporal;Trabajador por cuenta propia que emplea personal;Trabajador por cuenta propia que no emplea personal
1.0;0.5355805243445693;0.16666666666666666;0.06741573033707865;0.2303370786516854
2.0;0.570824268793812;0.17621464829586658;0.06997824510514866;0.18298283780517283
3.0;0.5449871465295629;0.20822622107969152;0.04113110539845758;0.20565552699228792
4.0;0.5960805661404464;0.2231899836690256;0.0326619488296135;0.14806750136091454
5.0;0.5585585585585585;0.25;0.02702702702702703;0.16441441441441443
6.0;0.6028800475059383;0.2494061757719715;0.034293349168646084;0.11342042755344418
7.0;0.5971009975062345;0.25981920199501246;0.03054862842892768;0.11253117206982544
8.0;0.6406066152438227;0.22375473918159236;0.03000392208131782;0.1056347234932671
9.0;0.6046381982383766;0.2517560486118854;0.03066116623926859;0.1129445869104694
10.0;0.6320105570741823;0.23357526628334432;0.027429540955792253;0.10698463568668112
11.0;0.6140483383685801;0.19750755287009064;0.04229607250755287;0.14614803625377643
