NUMERO;Casado/a;Divorciado/a o Separado/a;Soltero/a;Viudo/a
1.0;0.4645669291338583;0.08398950131233596;0.4461942257217848;0.005249343832020997
2.0;0.6285148514851485;0.07722772277227723;0.28297029702970294;0.011287128712871287
3.0;0.3392857142857143;0.03214285714285714;0.6107142857142858;0.017857142857142856
4.0;0.4709562109025916;0.10277033065236818;0.41465594280607687;0.01161751563896336
5.0;0.30120481927710846;0.06827309236947791;0.5943775100401606;0.03614457831325301
6.0;0.5311192468619247;0.07975941422594142;0.37813807531380755;0.010983263598326359
7.0;0.5546338672768879;0.06693363844393593;0.3665617848970252;0.01187070938215103
8.0;0.6239055452374636;0.057840275935261344;0.31082515256036086;0.007429026266914301
9.0;0.48736391912908245;0.07873250388802489;0.41621306376360806;0.017690513219284602
10.0;0.577071776769205;0.07681963355185746;0.3345100016809548;0.011598587997982855
11.0;0.6210214655810511;0.05551443375277572;0.31976313841598814;0.003700962250185048
