NUMERO;Trabajador por cuenta ajena fijo o indefinido;Trabajador por cuenta ajena temporal;Trabajador por cuenta propia que emplea personal;Trabajador por cuenta propia que no emplea personal
1.0;0.623342175066313;0.22811671087533156;0.04774535809018567;0.10079575596816977
2.0;0.6110003985651654;0.16699880430450378;0.12196094061379036;0.10003985651654046
3.0;0.4748201438848921;0.3237410071942446;0.06115107913669065;0.14028776978417265
4.0;0.6127583108715184;0.2192273135669362;0.053009883198562445;0.11500449236298294
5.0;0.6546184738955824;0.18072289156626506;0.06827309236947791;0.0963855421686747
6.0;0.6162760073742428;0.238346062681064;0.047142480905978404;0.09823544903871477
7.0;0.6126465055708291;0.24772102445376934;0.05845753147156707;0.08117493850383446
8.0;0.6677825388323514;0.20527584359935724;0.06199785752544189;0.06494376004284949
9.0;0.6554292434339475;0.23226185809486477;0.04566836534692278;0.06664053312426499
10.0;0.6791751183231913;0.20807978363759297;0.05256930358350237;0.06017579445571332
11.0;0.6074349442379182;0.20148698884758365;0.09814126394052045;0.09293680297397769
